,name,rating,review
26,Old School Cafe,5.0,elivery boy was very sincere and polite Delivery was within time and without any hassle Kudos to the delivery boy and sincerest thanks 5 star rating for delivery
27,Old School Cafe,4.0,
28,Old School Cafe,5.0,his cafe se has it all  good crowd delicious food mouthwatering drinks and beautiful ambience Some of the must try dishes are their variety of pizza pastas and honey chilli potato
29,Old School Cafe,1.0,
30,Old School Cafe,5.0,
31,EDEN by Connoisseur,5.0,
32,EDEN by Connoisseur,5.0,
33,EDEN by Connoisseur,5.0,
34,EDEN by Connoisseur,5.0,Foods are awesome Different types of dimsums are availble especially spicy chicken and Penang prawn  Best place in Prayagraj
35,EDEN by Connoisseur,5.0,he best this city can have Period
36,Pind Balluchi,5.0,inner was hosted by me for my sister for her wedding anniversary I really appreciate the hospitality provided by entire staff Im very happy with all the good gesture by staff specially Mr Sunil Sinha
37,Pind Balluchi,3.0,Having delicious dinner in your sweet home only is a wonderful feeling when you become the most desi type of person and forget all the dinning manners and feel free to have your food swiggyindia provides you this opportunity of having the delicious cusine from anywhere in your city at your home itself     Place  pindballuchiallahabad Strachey Road Civil Lines Prayagraj    CHICKEN LABABDAR  Price  425 including tax family quantity chicken pieces were cooked in tandoor enriched with tomato gravy and packed in a good manner     The quantity was good with atleast 78 pcs but the price was too much according to the taste and the pieces was small too    Follow  exoticflavours Follow  exoticflavours Follow  exoticflavours   Review  imhereforhim     Taste 
38,Pind Balluchi,5.0,Mrvijay kumar yadav service with excellence
39,Pind Balluchi,4.0,his place serves north Indian  Chinese  mughlai food and desserts  Ambiance is beautifully done to give it a rural theme  Whole ambiance is very vibrant and colourful  You can also book a special table for your birthday party or other events  coming to the food  we ordered kadai paneer  mix veg  butter naan and dahi ke kebab in starters  Everything tastes apt  Dahi ke kabab is their speciality and it was actually prepared very well  Presentation and portion size was good  Staff is polite and service was great too  Overall I was an awesome dining experience  
40,Pind Balluchi,4.0,
41,Makkhan's,3.0,
42,Makkhan's,4.0,
43,Makkhan's,1.0,One family sitting next to us trying to be sophisticated but they were mannerlessDue to close tables they were looking at our meal continuously Makhans service was good but should maintain some privacyI dont like sambharelse malai kpfta n missi roti was great Some one has recommended Makhans but due to that family my experience was horrible
44,Makkhan's,5.0,Its a good family restaurant with extensive and elaborate menu The ambience is very relaxing and the food is delicious Highly recommend their tomato soup hot and sour soup tandoori platter south indian and north indian dishes
45,Makkhan's,5.0,
46,Gola Sizzlers,5.0,he hospitality is upto the mark  Cozy place Creative minds seemed to be behind the place  The best sizzlers in Prayagraj Taste is worth the price Must have when here
47,Gola Sizzlers,5.0,No one can eat just once  Truly 
48,Gola Sizzlers,5.0,
49,Gola Sizzlers,1.0,
50,Gola Sizzlers,1.0,
51,The Oval - Hotel Milan Palace,2.0,xtremely unsatisfactory service Waiters confidently accept that itll take them a really long time to bring the food and laugh about it Also they dont know what theyre serving They mistook chicken for fish 
52,The Oval - Hotel Milan Palace,1.0,
53,The Oval - Hotel Milan Palace,2.0,
54,The Oval - Hotel Milan Palace,5.0,
55,The Oval - Hotel Milan Palace,1.0,he service could not have been slower The taste was also not very good
56,Puneet Bar & Restaurant,5.0,
57,Puneet Bar & Restaurant,5.0,
58,Puneet Bar & Restaurant,5.0,
59,Puneet Bar & Restaurant,1.0,
60,Puneet Bar & Restaurant,1.0,Ye bar raat me kafi satarkata batne ke kabil hai raat me yaha ke waiters apke paiso ki chori kr sakte hai be careful or apke paise dene ke baad is baat ko koi bhi bar employee ni manega isi liye satark rahe or apne paiso ki surakcha kare chor ki market in jaise choro ki wajah se hi bharose ke kabil ni rahe hai
61,Royal Bar and Restaurant,4.0,
62,Royal Bar and Restaurant,1.0,
63,Cafe Eighteen Sixty Six,3.0,Located within Hotel Regency interior is simple they have garden seating option too Drawback they serve main course during lunchdinner time only and tandoor items later in the evening Service is quite slow I have tried Shahi Paneer Malai Kofta Butter Chicken Murgh Makhni and Dahi Kebab everything was tasty
64,Cafe Eighteen Sixty Six,4.0,So I went to this place and I ordered chilli paneer and i loved it as the paneer were damn fresh and crispy veg grilled sandwich  was tasty overall nice place 
65,Cafe Eighteen Sixty Six,3.0,So I went to this place and I ordered chilli paneer and sandwiches it was tasty but took a lot of time toh arrived and they have scarcity of some items also overall nice place   Taste 45 Ambience 35 Presentation 35 Service 285
66,Cafe Eighteen Sixty Six,3.5,Nicely secluded from the city Or at least it feels like it An option of outdoor seating Food was alright with limited options which isnt always a bad thing
67,Hotel Kanha Shyam,5.0,
68,Hotel Kanha Shyam,5.0,
69,Hotel Kanha Shyam,1.0,
70,Hotel Kanha Shyam,1.0,Mr Ramesh is the worst staff
71,Hotel Kanha Shyam,1.0,
72,Moti Mahal Delux,1.0,I order kadhai chicken but that taste was very bad they have only costly item but no any taste
73,Moti Mahal Delux,5.0,Superbbbbi love it
74,Moti Mahal Delux,1.0,
75,Moti Mahal Delux,3.0,decent restaurant catering to the shoppers at the mall Lunch time on a Sunday One would have expected the tables to be occupied but that was not the case Maybe the food had something to do with the occupancy state The tandoori chicken was served as a sizzler with all the trappings that one would expect in a continental sizzler It had sauce all over it come on sauce on a good old desi tandoori chickencould it have been barbeque sauce the chicken too was from a famished brood The taste though not classic tandoor was reasonably ok The chicken in the Butter chicken was well fed but the gravy was work in progress The nan and the rotis were good and the saving grace The TV was too noisymaybe the management could consider playing soft music instead The service was good If one needs a quiet lunch without much ado about the food while at the mall this could be the place 
76,Moti Mahal Delux,5.0,
77,Vilayat Cafe Lounge & Restro,5.0,
78,Vilayat Cafe Lounge & Restro,5.0,
79,Vilayat Cafe Lounge & Restro,1.0,
80,Vilayat Cafe Lounge & Restro,1.0,Very bad quality plzz serve the better service to the customer you give bad quality of food see the photo what you give without caring what we want
81,Vilayat Cafe Lounge & Restro,5.0,M kadai paneer aur chicken kadai Order Kiya tha  Bhai quantity and quality dono mst thi Kadai paneer quantity me kuch Jada hi tha mere liye Bhai Khana me maja aa gyathanks Vilayat Cafe
82,Mera Gaon,5.0,
83,Mera Gaon,1.0,
84,Mera Gaon,1.0,Worst Service  It took around 1 hr for them to serve the food and it was all too spicy and oily Food recommended only if you want to get unhealthy Mineral water bottles were not sealed and when we told about it the staff their said they dont have sealed mineral water and they filled these bottles themselves from RO Machine   Please avoid it for your family and Recommend it for someone you hate
85,Atariya Restaurant,5.0,
86,Atariya Restaurant,4.0,xcellent environment friendly service greatmenu choices and really decent food and at affordable prices Will be back  What a lovelyrestaurant good food and service and atmosphere definitely hope to go back
87,Atariya Restaurant,4.0,
88,Atariya Restaurant,5.0,
89,Atariya Restaurant,5.0,Beautiful place for any occasion and nice behaviour cheap rate and best quality foods awesome
90,Barbie Bites,2.0,he food wasnt upto the mark Chilly paneer was a bit bland and tea wasnt good The portion size was also very small for noodles Need to improve it up a bit Ambience was okay except for the fact that they got the spelling of Restaurant wrong Need improvement
91,Barbie Bites,1.0,Very poor service cleaner wash the glass on wash basin through hand wash soap food taste was too bad One time visit only And this was not a good deal We cant enjoy food
92,Sagar Ratna,5.0,
93,Sagar Ratna,4.0,I love the fact that they have maintained their quality still my go to place for Mysore Masala Dosa
94,Sagar Ratna,5.0,Good food always smile
95,Sagar Ratna,5.0,
96,Sagar Ratna,4.0,
97,El Chico Restaurant,5.0,
98,El Chico Restaurant,5.0,
99,El Chico Restaurant,1.0,Had ordered Butter chicken for home delivery which was pathetic Chicken was not properly roasted and the pieces were shredded as if they had been pierced with knife Really need to improve
100,El Chico Restaurant,4.0,he restaurant is classy and very famous due to its bakery The food is good and service is also nice Try sizzler and paneer items here
101,El Chico Restaurant,4.0,Nice restaurent but quite expensive focus mainly on high class people by seeing their menu you will get to know why i am saying this
102,Moti Mahal Delux Tandoori Trail,5.0,
103,Moti Mahal Delux Tandoori Trail,1.0,
104,Moti Mahal Delux Tandoori Trail,1.0,
105,Moti Mahal Delux Tandoori Trail,1.0,he food was horrible and the butter chicken was not even worth eating
106,Moti Mahal Delux Tandoori Trail,3.0,Quite expensive but good taste can go there staff behaviour is good too
107,Dilli Galiyara,1.0,Worst experience ever They made me wait fr 15hrsand later delivered the food in tempered Package This is d reason why their rating is falling day by day Highly dissatisfied
108,Dilli Galiyara,4.0,Great place to quench your craving for some scrumptious chickenthe service is a bit slow and the tandoori rotis were burnt but the chicken successfully compensated for it all Their MUST TRY is Chicken Rarathe star of the dish being the gravy with loads of tiny chicken piecesthe balance of spices was perfect and the chicken wellcookedthe gravy was so precious that we savoured the whole of it even though we were quite full The butter chicken is not very butterythe taste of tomato overcomes all other flavours If you happen to be in the neighborhood with an empty stomach then do try this restaurant tout de suiteimmediately
109,Dilli Galiyara,1.0,
110,Dilli Galiyara,3.0,
111,Dilli Galiyara,1.0,
112,Chill Lounge,1.0,Hey Guys Do not visit this place as they looted the guest There are no working cctv so no security they stole my 2 bags and no one is taking responsibility even they are blaming other guests Zomato you should stop your business with them they do not deserve
113,Chill Lounge,3.0,Food is good Staff is less cooperativenicr decor Recommended
114,Chill Lounge,1.0,I tried their tandoori chicken sizzlers which was not at all good I felt like i have wasted my money The worst sizzlers ever ate This place is famous for their bar and hookah not at all good for food
115,Chill Lounge,4.0,Nice ambience and interiors good service by the staff food tastes good Overall my experience is good One of my recommended place in Prayagraj
116,Chill Lounge,2.0,By the way place is good but its too costly specially drinks why to waste money where we can have 130 why we should waste 410  place and ambience is good but overall costly
117,Jade Garden,4.0,I m from delhi I was there at Allahabad for work purposes So i visited jade garden first tym Its a family restaurant completely hygienic place Family friendly and pocket friendly to So i tried matki chicken there with garlic naan food was upto the mark I m satisfied with taste But it open till 1030 pm only
118,Jade Garden,3.0,Jade garden is located in Civil Lines near Indian Coffee House We went for dinner there and ordered kadhai paneer dal makhani and some rotis naans and mixed rayta The food was normal and okay but surely was a little overpriced I loved the dal makhani for its perfect balance of ingredients Quality of the food was good
119,Jade Garden,5.0,fter a long day of examinationmovie and street strollingthe dinner at this restaurant was the perfect endingthe ambiance is quite and peaceful until we entered the placethe food is great but just a tad bit expensivethe staff is quite amicable  We ordered Dal Makhani Kadhai Paneer Vegetable Raita with Tandoori Roti and Butter Naan and it was an amazing dinnerthe Dal Makhani was creamy and delectable and also the Kadhai Paneer had the right amount of spicesthe Naan and Rotis were also fresh and soft  A must visit for anyone looking for a decent place to eat
120,Jade Garden,3.0,mbiance is very good Must improve on taste They should add more things on their menu as it is a big decent neat place Service is okay Good place for family
121,Jade Garden,5.0,I am absolutely in love with the continental served by them especially the sizzlers and this is the reason why I am always being pulled towards this restaurant since my childhood The place is marked with hygiene with perfect aroma of mouth sweltering cuisines as an Allahabadi I would be glad if someone who visit my city should for once give their tongue the taste of their sizzlers Believe me its yumm
122,Kohinoor Restaurant,4.0,
123,Kohinoor Restaurant,4.0,
124,Kohinoor Restaurant,4.0,Good place at the heart of the cityfood was too goodservice was bit lousy but they make that up with the food taste
125,Kohinoor Restaurant,5.0,Very good staff behaviour
126,Kohinoor Restaurant,5.0,bsolutely loved the food  Had gone this time with my husband  We ordered veg chow mein  butter chicken and garlic naan  It was superb and delicious  Perfectly cooked   Staff was really kind  The food wasnt spicy as per my request 
127,Rajpoot Bar & Restaurant,1.0,
128,Rajpoot Bar & Restaurant,1.0,
129,Rajpoot Bar & Restaurant,5.0,
130,Rajpoot Bar & Restaurant,5.0,
131,Rajpoot Bar & Restaurant,4.0,
132,Zaika Restaurant,1.0,
133,Zaika Restaurant,1.0,the chicken is not halaalit is of jhatke type chicken As the owner does not give me satisfactory answer about halaal and jhatke type
134,Zaika Restaurant,4.0,Visited this place nd only this one every time I went to Allahabad Had a good time on every visit nice food served hot and as instructed Pastry and sweets were also good
135,Black Forest- Hotel Yugantar & Banquest,5.0,
136,Black Forest- Hotel Yugantar & Banquest,5.0,
137,Black Forest- Hotel Yugantar & Banquest,5.0,
138,Black Forest- Hotel Yugantar & Banquest,5.0,Nice and very hygiene food quality
139,Black Forest- Hotel Yugantar & Banquest,5.0,
140,Arabian Nights,5.0,
141,Arabian Nights,5.0,
142,Arabian Nights,5.0,mazing Atmosphere  Cool Music N Awsome Food Must Visit As My College Gets Over I directly Get To Arabian Night To Be In Amazing Atmosphere Must Visit
143,Tripti Bar & Nawab's Restaurant,5.0,
144,Muktanandam Moti Mahal Delux,1.0,What a pathetic service Was there at 2115h waited for table till 2145  From 2145 to 2210 nobody cleaned table  Got hold of staff to clean table  Finally at 2215 table was cleaned  But irony didnt ends there it was beginning requested three times for glass of water and menu  But alas couldnt materialised till 2230 and got reply from waiter we are too busy  though half tables were empty and told that we can go to some other place as its the way Moti mahal muktangan serves god saves customers
145,Muktanandam Moti Mahal Delux,5.0,
146,Muktanandam Moti Mahal Delux,4.0,Muktanandam Moti Mahal Delux is a well known restaurant in Civil Lines Allahabad especially known for their Non Vegetarian food The place has a very spacious area ample seating and ambient lighting The interiors are splendid  chandeliers on the ceiling lamps on the wall and fine red colored chairs merging very well with the surroundings The tables are laid out in an orderly fashion They have set up a perfect environment for a fine dining experience  I had visited Muktanandam once with my friends during my stay in Allahabad Initially we had ordered half plate Chicken Tikka Masala with breads and Pan Fried Noodles The Chicken Tikka Masala had perfectly grilled pieces of Chicken with a lip smacking gravy Each bite with bread tasted as delicious as anything The Pan Fried Noodles were unusually good in taste for a restaurant specializing in North Indian food Crisp fried noodles topped with Crispy Vegetables and sweet and sour sauce The sauce had perfect balance of flavors We liked them so much that we ordered another plate The only downside was that Chicken Tikka Masala was too less in quantity Half plate was just sufficient for one person Therefore we had to order half a plate of Kadhai Chicken after that The Kadhai Chicken was decent in taste but didnt taste as good as Chicken Tikka Masala which downgraded an overall wonderful experience  Overall a great place to visit for North Indian food and Chicken cravings Would have loved to visit again
147,Muktanandam Moti Mahal Delux,5.0,Great ambience and decor Perfect for family diningmushroom mutter is just amazing Worth a try Rest food is delicious too Courteous staff
148,Muktanandam Moti Mahal Delux,5.0,Moti Mahal is one of my favorites food chains Every time i found it better and my taste buds get amazed to be here Ambience and Services at Moti Mahal is just awesome Food is Fresh and as upto ones mark I love it U can go and enjoy with both Family and Friends here
149,Rasoi Restaurant-Hotel Prayag,1.0,
150,Rasoi Restaurant-Hotel Prayag,3.0,
151,Rasoi Restaurant-Hotel Prayag,1.0,Maine chowmin butter chicken aur chicken Biryani order ki Food  ghatiaya Packing Third class Paisa barbad ho gya mera 0010 scoring 
152,Reserveseats,5.0,Great food to order at homethe naan and tandoori rotis are fresh and the veg main course has loads to offerquite an affordable place as well Paneer do pyaza and kadhai paneer are delectable with the perfect spiciness and rich flavourswant to eat a dish with extra spices then Amritsari dum aloo is the option for you I havent visited this restaurant in person so no reviews on the ambiance but the food is definitely worth trying and will always be value for money
153,Reserveseats,2.0,he is just manageable  out of option you may try it but most of them arent what they claim to be eg Murgh kali mirch turned out to be no different than butter chicken etc
154,Reserveseats,2.0,
155,Reserveseats,5.0,Paneer do pyaza was tasty and roti is also good
156,Reserveseats,5.0,wesome taste 
157,Busy Bee Restro,5.0,
158,Busy Bee Restro,4.0,
159,Busy Bee Restro,5.0,
160,Busy Bee Restro,1.0,Pathatic food It was just waste of money here I have ordered panner butter masala and it was smelling very badly that it was cooked before a week ago
161,Busy Bee Restro,5.0,
162,Dhaba Cafe,3.0,ried katori chat and Paan shake hereKatori chat was stuffed with loads of dahi chutney onions masala sprinkles and sev and was nice in tastePaan shake had a good flavour of paan in it though the consistency was very thinPrices are very nominal
163,Dhaba Cafe,3.0,I ordered a shake and their katori chaatPrices of both were really affordablePlace is really spaciousGood for outing with friends
164,Dhaba Cafe,4.0,Our 1st giveaway with dhabacafeprayagraj gone really well Thankyou dhabacafeprayagraj for letting us organise this giveaway Every dish served was really good and everyone really enjoyed The food was really served well hot and fresh and even though the staff was less in number but they managed well  CIGAR DOSA Dosa in different style made like cigar and the aaloo masala filled inside was really good I really liked the innovation and the crispiness of the outer Dosa The dish was served with green raita recommended  MAGGI STICKS  Price  94 approx the noodle cake was fried and then presented as a noodle chaat with tomatoes onions and a slight mint flavour and garnished with mayonnaise This dish was really innovative DHABA MAKHNI BURGER  Price  99 the burger was as usual with shallow fried aaloo tikki and with tomato and rings of onions They were ok but not at par with the price as we expected 
165,Dhaba Cafe,4.0,he place is a good place to have tea and snacks and chill with your friends humble management I had pav bhajifries burger n tea all was goodjust the pav was very less according to the portion of bhaji
166,Dhaba Cafe,1.0,Probably the worst food ever
167,Govind's Vegetarian Restaurant,5.0,xcellent eating experience from walking in the door and being greeted by employee seated and drink order taken was maybe 5 minutes Meal was served hot and excellent taste Overall good value for your money
168,Govind's Vegetarian Restaurant,1.0,90 of items are not available which are written on menu Rest 9 were so basic that you should not visit restaurant for that matter The only good thing they have is finger chips They are crispy not oily and remindful of McD french fries
169,Pizza Hut,5.0,Nice test
170,Pizza Hut,5.0,
171,Pizza Hut,4.0,
172,Pizza Hut,1.0,
173,Pizza Hut,5.0,
174,Chhappan Bhog,4.0,
175,Chhappan Bhog,4.0,
176,Chhappan Bhog,5.0,mazing taste
177,Chhappan Bhog,1.0,Cake quality is very bad
178,Chhappan Bhog,5.0,
179,Cafe BigBoxx,1.0,
180,Cafe BigBoxx,1.0,
181,Cafe BigBoxx,4.0,
182,Cafe BigBoxx,4.0,verything i tried was just amazing Easily the best cafe in allahabad They have a very unique dish called naanzait is a basically a pizza with a naan base perfect for thin crust pizza lovers
183,Cafe BigBoxx,3.0,Place was good and well maintained Staffs are also friendly but the portion they are serving from the menu is very little as compare to price
184,9280 The Family Restaurant,5.0,
185,9280 The Family Restaurant,3.0,Good taste little higher in cost but still u get the quality here chicken was not cooked perfectly ut was very hard and tight plz prepare your food wellwe pay you without asking for discounts
186,9280 The Family Restaurant,4.0,
187,9280 The Family Restaurant,5.0,estaurant is very good ambiance with good food Service was so fast they dont take much time Quality of food was awesome taste was also very good
188,9280 The Family Restaurant,2.0,time was their when this restaurant was a good and authentic mugal food restaurant which was actually cooking and serving food in desi ghee preparation but yes as the time changed popularity grew and quality and quantity deteriorated Now neither the taste is good nor the quality and quantity You order something something else will come Now not recommend
189,Higgins IX C1,1.0,few items were missing from my order and no satisfactory response was provided from neither the resturant nor zomato  its a matter of ethics  you people are defrauding people in broad day light
190,Higgins IX C1,5.0,
191,Higgins IX C1,5.0,
192,Higgins IX C1,4.0,
193,Higgins IX C1,5.0,
194,Nidhi Restaurant,5.0,
195,Nidhi Restaurant,5.0,
196,Nidhi Restaurant,2.0,
197,Nidhi Restaurant,5.0,
198,Nidhi Restaurant,4.0,
199,Hotel Ravisha Continental,4.0,Food service ambience everything is just just so nice Its like a second kitchen to us Their sizzlers are the best in town
200,Hotel Ravisha Continental,4.0,
201,Hotel Ravisha Continental,3.0,
202,Hotel Ravisha Continental,3.0,If you are going here do try their crispy corns  afgani chicken tikka malai tikka and hara bhara Kebab
203,Hotel Ravisha Continental,4.0,Few days back I visited this place after so long Place is still the same Service is good Pricing is bit on higher end I had Tandoori Non Veg Kebab Grill Chicken Patiyala with Garlic Naan Food tasted good Good place to dine in
204,Samira Restaurant,1.0,o not buy from this restaurant the food is stale and smelly and of bad quality it will make you sick
205,Samira Restaurant,1.0,
206,Samira Restaurant,5.0,
207,Samira Restaurant,4.0,
208,Samira Restaurant,1.0,I ordered paneer dish at night from them because it was the only restaurant open at that time and they send me the dish and I found chicken pieces in them The worst restaurant I can say
209,BonFire X Restro,4.0,
210,BonFire X Restro,2.0,
211,BonFire X Restro,5.0,
212,BonFire X Restro,3.0,
213,BonFire X Restro,5.0,Best place for Family gathering best taste around the City circle no need to go to civilines for a good food At last i would have to say very good management it has
214,Veggie Galaxy,5.0,Great location really pleasant and clean rooms but the thing that makes this such a good place to stay are the staff All of the people are incredibly helpful and generous with their time and advice
215,Veggie Galaxy,5.0,
216,Veggie Galaxy,5.0,
217,Veggie Galaxy,5.0,
218,Veggie Galaxy,5.0,
219,Nazeer Foods,2.0,i ordered boneless butter chicken 2pcs first of all i would like to mention there is a drastic taste mismatch between nazeer foods delhi and prayagraj Gravy was not upto the mark now chicken pcs they were boiled and added in gravy there was no smoky flavour in chicken which is der in bonless chicken when u eat specially at nazeer food anywhere i was dissapointed because my experience so honestly writing here  i hope you guyz improve and understand your shortcomings Only thing that really impressed me is packaging
220,Nazeer Foods,5.0,
221,Nazeer Foods,4.0,What are you planning for lunch today Recommend this scrumptious lunch at Nazeers Allahabad They have some exciting combo offers running We ordered the combination of Afghani Chicken tikka 3pcs  Khameeri Roti 2 pcs and Beverage of your choice at 189 only Alongside we ordered a Gosht Nihari The Afghani Chicken tikka was soft and creamy with an obvious smoky flavour Taste   The Nihari which is basically a mutton stew was absolutely flavourful I loved it Swipe for a pic of the Nihari Taste   The only problem at this place is the service which is really poor
222,Nazeer Foods,5.0,his place has the best biryani in allahabad I spent last 6 months trying every biryani in allahabad I can and I finally say I found something I like The masala chicken biryani of this place is just a must try
223,Nazeer Foods,5.0,I have tasted most of their items like A fgahani chicken tikkaa mutton nihariseekh kebab and chicken taka ta ka roll etc taste fantastic but today I have ordered chicken tawa changezi no taste only too much salt please add only those dishes in your menu which are awesome in taste not just good stick to your reputation guys
224,Tamboora,4.0,Cute small place went for hooka primarily Less crowdy and soft music The hukka was nice and smooth Doing good for a smaller place like Allahabad
225,Tamboora,3.0,Well its best place for hookaah no doubt But if you want to have some snacks Than its not place for you I have order 2 dish Chilly potato and garlic bread  Chilli potato was good 3 out of 5  Garlic bread was tasting like milklayer is on it Totally waste if money 2 out of 5  Overall 3 out of 5   jst because of hookah Hope they improve it afterwards Thank you Tamboora
226,Tamboora,3.0,his section is on the rooftop of Muktanandam building If you arent a hukkah person its better you visit their food section on 1st floor Cabin is small and congested and the outdoor seating has nothing too catchy earlier it looked better in evening Most of the time it is overcrowded Service is quite slow food is good and for hukkah most of the times they dont have the flavours that you want
227,Tamboora,4.0,his place has the best hukka in the town Soft drinks are also good mocktails and beverages and the coffee is also good And the ambience is also nice in the place
228,Celebrations Grill & Lounge,5.0,Unforgettable experience  movement of life on Celebration of Birthday
229,Celebrations Grill & Lounge,4.0,Its a fine dine restaurant in Ashok nagar and place to have amazing food with burning a whole in your pocket  This place is quite spacious  you can arrange your small gathering or Kitty parties here  Food is really tasty and they serve all type of food  We tried hara bhara kabab  spring roll  paneer lababdar and butter naan  Everything tasted amazing and upto the mark 
230,Celebrations Grill & Lounge,4.0,
231,Celebrations Grill & Lounge,5.0,
232,Celebrations Grill & Lounge,3.0,
233,Senses - Hotel DPS Inn,3.0,I had stayed here for 2 days And really the service was good here  Just only for short staffing u didnt get prompt service bt u will get it in within 20 mins The persons who were working here are really good they didnt get hyper on us Bcoz we really got hyper on them for their late service but they had really managed it good And food is really awesome here If u ever be here just try their chappaties and shag mutton its really fingerlicking
234,New Divine Restaurant,5.0,
235,Silk Restaurant,1.0,hough the ambience is ok But the food is not upto the mark as the name signifies The prices are way to high for such unwillinglyI guess made dishes
236,Aryan Family's Delight,4.0,he Singapore noodles were not that great The ambience of this place is quite nice Veg deluxe thali was great Butter chicken and chicken lollipop of this place are also very good The price of the dishes are same as that of any fancy restaurant in Allahabad
237,Aryan Family's Delight,5.0,
238,Aryan Family's Delight,2.0,Situated on the ground floor if the Vinayak mall having many footfalls Has a varied menu but is too loud and has inadequate ventilation So what is it A restaurant or a food court Seems to be somewhere in between and falls flat as a dinein It is too loud and billing is before service Takeaway kind of place Avoid
239,Aryan Family's Delight,5.0,
240,Aryan Family's Delight,4.0,
241,Mr. Dewsis,1.0,
242,Mr. Dewsis,1.0,
243,Mr. Dewsis,1.0,Honey chilly potato was horrible potatoes were not peeled off
244,Mr. Dewsis,1.0,I want once a fan of Dewsis coz their affordable menu items and less delivery charges but they increased the price 40 to 50 and their extra charges like distance fee packaging fee taxes and special delivery charges makes this restaurant so unaffordable and costly once they delivered special thali 100 rs
245,Mr. Dewsis,1.0,
